Team,Att,Cmp,CmpPct,Yds/Att,Pass,TD,INT,Rate,1st,1stPct,20+,40+,Lng,Sck,SckY,Rush,YPC,RushPct,RushPct2,RushPct3,Rec,Yds,Yds/Rec,RecPct1,RecPct2,RecPct3,Rsh,Tot,2-PT,3rd,3rdPct,4th,4thPct,Scrm
Jaguars,,,,,,20.0,,,,,43.0,3.0,45,,,,,,,,321.0,3670.0,11.4,181.0,56.4,5.0,,,,,,,,
Ravens,,,,,,18.0,,,,,43.0,6.0,77,,,,,,,,320.0,3595.0,11.2,180.0,56.2,3.0,,,,,,,,
49ers,,,,,,32.0,,,,,41.0,10.0,61,,,,,,,,318.0,3559.0,11.2,184.0,57.9,3.0,,,,,,,,
Bears,,,,,,20.0,,,,,35.0,7.0,66,,,,,,,,315.0,3072.0,9.8,153.0,48.6,4.0,,,,,,,,
Panthers,,,,,,12.0,,,,,32.0,4.0,48,,,,,,,,314.0,3098.0,9.9,144.0,45.9,5.0,,,,,,,,
Packers,,,,,,32.0,,,,,53.0,13.0,67T,,,,,,,,314.0,3921.0,12.5,187.0,59.6,2.0,,,,,,,,
Saints,,,,,,27.0,,,,,55.0,13.0,63,,,,,,,,313.0,3844.0,12.3,184.0,58.8,5.0,,,,,,,,
Broncos,,,,,,26.0,,,,,30.0,2.0,65T,,,,,,,,312.0,3208.0,10.3,174.0,55.8,6.0,,,,,,,,
Chargers,,,,,,16.0,,,,,47.0,5.0,78,,,,,,,,309.0,3685.0,11.9,177.0,57.3,6.0,,,,,,,,
Titans,,,,,,23.0,,,,,55.0,10.0,71,,,,,,,,307.0,3867.0,12.6,179.0,58.3,0.0,,,,,,,,
Patriots,,,,,,21.0,,,,,38.0,8.0,91,,,,,,,,306.0,3326.0,10.9,163.0,53.3,3.0,,,,,,,,
Cardinals,,,,,,18.0,,,,,52.0,11.0,68,,,,,,,,304.0,3653.0,12.0,177.0,58.2,4.0,,,,,,,,
Chiefs,,,,,,17.0,,,,,53.0,13.0,67T,,,,,,,,300.0,3863.0,12.9,178.0,59.3,3.0,,,,,,,,
Eagles,,,,,,27.0,,,,,46.0,9.0,64,,,,,,,,300.0,3427.0,11.4,146.0,48.7,3.0,,,,,,,,
Browns,,,,,,18.0,,,,,42.0,7.0,78,,,,,,,,279.0,3154.0,11.3,139.0,49.8,5.0,,,,,,,,
Falcons,,,,,,19.0,,,,,46.0,14.0,94,,,,,,,,278.0,3695.0,13.3,165.0,59.4,1.0,,,,,,,,
Dolphins,,,,,,20.0,,,,,42.0,7.0,74,,,,,,,,275.0,3335.0,12.1,154.0,56.0,7.0,,,,,,,,
Steelers,,,,,,16.0,,,,,49.0,8.0,90,,,,,,,,274.0,3295.0,12.0,150.0,54.7,3.0,,,,,,,,
Jets,,,,,,17.0,,,,,39.0,1.0,40,,,,,,,,272.0,2871.0,10.6,151.0,55.5,1.0,,,,,,,,
Seahawks,,,,,,15.0,,,,,45.0,12.0,64T,,,,,,,,258.0,3164.0,12.3,140.0,54.3,3.0,,,,,,,,
Redskins,,,,,,13.0,,,,,31.0,6.0,85,,,,,,,,235.0,2716.0,11.6,122.0,51.9,2.0,,,,,,,,
Cowboys,,,,,,14.0,,,,,32.0,8.0,80,,,,,,,,210.0,2408.0,11.5,110.0,52.4,1.0,,,,,,,,
Rams,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,20.0,61.0,1.0,,,,,
Steelers,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,17.0,35.0,0.0,,,,,
Buccaneers,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,17.0,34.0,1.0,,,,,
Colts,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,16.0,46.0,1.0,,,,,
Chiefs,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,16.0,34.0,1.0,,,,,
49ers,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,16.0,50.0,0.0,,,,,
Patriots,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,15.0,43.0,0.0,,,,,
Seahawks,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,15.0,33.0,0.0,,,,,
Raiders,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,14.0,45.0,1.0,,,,,
Dolphins,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,14.0,40.0,1.0,,,,,
Chargers,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,13.0,33.0,0.0,,,,,
Bears,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,12.0,35.0,1.0,,,,,
Titans,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,12.0,38.0,0.0,,,,,
Ravens,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,11.0,30.0,0.0,,,,,
Bengals,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,11.0,24.0,0.0,,,,,
Packers,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,11.0,46.0,0.0,,,,,
Jaguars,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,11.0,32.0,0.0,,,,,
Giants,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,11.0,31.0,2.0,,,,,
Jets,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,11.0,32.0,0.0,,,,,
Vikings,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,10.0,34.0,2.0,,,,,
Cardinals,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,10.0,31.0,1.0,,,,,
Redskins,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,10.0,25.0,1.0,,,,,
Falcons,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,9.0,29.0,0.0,,,,,
Bills,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,9.0,31.0,0.0,,,,,
Panthers,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,9.0,26.0,0.0,,,,,
Browns,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,8.0,30.0,1.0,,,,,
Cowboys,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,8.0,26.0,0.0,,,,,
Lions,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,8.0,29.0,1.0,,,,,
Saints,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,8.0,35.0,0.0,,,,,
Broncos,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,7.0,35.0,1.0,,,,,
Eagles,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,6.0,36.0,0.0,,,,,
Bengals,,,,,,,,,,,,,,,,95.0,,21.5,,,176.0,,,54.7,,,,,,243.0,93.0,23.0,6.0,1071.0
Titans,,,,,,,,,,,,,,,,87.0,,18.6,,,179.0,,,58.3,,,,,,233.0,98.0,15.0,2.0,1026.0
Steelers,,,,,,,,,,,,,,,,148.0,,25.5,,,150.0,,,54.7,,,,,,232.0,106.0,12.0,6.0,1065.0
Ravens,,,,,,,,,,,,,,,,92.0,,19.0,,,180.0,,,56.2,,,,,,230.0,82.0,13.0,3.0,1080.0
Buccaneers,,,,,,,,,,,,,,,,84.0,,20.6,,,189.0,,,52.2,,,,,,228.0,80.0,17.0,11.0,1046.0
Saints,,,,,,,,,,,,,,,,87.0,,20.8,,,184.0,,,58.8,,,,,,227.0,89.0,18.0,6.0,1031.0
Bears,,,,,,,,,,,,,,,,99.0,,20.8,,,153.0,,,48.6,,,,,,225.0,74.0,21.0,10.0,1020.0
Redskins,,,,,,,,,,,,,,,,104.0,,21.2,,,122.0,,,51.9,,,,,,223.0,79.0,13.0,4.0,960.0
Lions,,,,,,,,,,,,,,,,74.0,,21.1,,,184.0,,,53.6,,,,,,222.0,76.0,25.0,12.0,1026.0
Patriots,,,,,,,,,,,,,,,,101.0,,21.4,,,163.0,,,53.3,,,,,,221.0,91.0,17.0,7.0,1001.0
Chargers,,,,,,,,,,,,,,,,92.0,,21.2,,,177.0,,,57.3,,,,,,221.0,79.0,4.0,3.0,1010.0
Giants,,,,,,,,,,,,,,,,93.0,,21.9,,,189.0,,,57.8,,,,,,220.0,78.0,13.0,6.0,1028.0
Eagles,,,,,,,,,,,,,,,,90.0,,21.8,,,146.0,,,48.7,,,,,,220.0,68.0,13.0,9.0,974.0
Panthers,,,,,,,,,,,,,,,,66.0,,18.6,,,144.0,,,45.9,,,,,,219.0,67.0,21.0,5.0,965.0
Broncos,,,,,,,,,,,,,,,,106.0,,22.0,,,174.0,,,55.8,,,,,,219.0,83.0,10.0,4.0,1034.0
Falcons,,,,,,,,,,,,,,,,84.0,,19.1,,,165.0,,,59.4,,,,,,217.0,89.0,17.0,5.0,988.0
Bills,,,,,,,,,,,,,,,,74.0,,18.2,,,179.0,,,54.7,,,,,,217.0,75.0,24.0,12.0,1009.0
Cowboys,,,,,,,,,,,,,,,,114.0,,22.6,,,110.0,,,52.4,,,,,,215.0,71.0,16.0,4.0,952.0
Dolphins,,,,,,,,,,,,,,,,95.0,,20.1,,,154.0,,,56.0,,,,,,215.0,89.0,14.0,9.0,953.0
49ers,,,,,,,,,,,,,,,,120.0,,23.6,,,184.0,,,57.9,,,,,,213.0,95.0,17.0,9.0,1041.0
Seahawks,,,,,,,,,,,,,,,,107.0,,22.8,,,140.0,,,54.3,,,,,,213.0,77.0,17.0,8.0,980.0
Browns,,,,,,,,,,,,,,,,78.0,,18.7,,,139.0,,,49.8,,,,,,210.0,68.0,12.0,6.0,934.0
Vikings,,,,,,,,,,,,,,,,88.0,,23.4,,,179.0,,,53.4,,,,,,210.0,88.0,18.0,8.0,978.0
Raiders,,,,,,,,,,,,,,,,102.0,,22.7,,,195.0,,,53.6,,,,,,209.0,81.0,13.0,8.0,1030.0
Colts,,,,,,,,,,,,,,,,110.0,,25.1,,,206.0,,,59.0,,,,,,205.0,85.0,8.0,5.0,1025.0
Jets,,,,,,,,,,,,,,,,105.0,,23.6,,,151.0,,,55.5,,,,,,200.0,76.0,12.0,6.0,928.0
Jaguars,,,,,,,,,,,,,,,,84.0,,22.6,,,181.0,,,56.4,,,,,,198.0,70.0,12.0,3.0,969.0
Packers,,,,,,,,,,,,,,,,72.0,,17.6,,,187.0,,,59.6,,,,,,197.0,72.0,6.0,3.0,942.0
Cardinals,,,,,,,,,,,,,,,,77.0,,19.2,,,177.0,,,58.2,,,,,,196.0,57.0,20.0,10.0,955.0
Chiefs,,,,,,,,,,,,,,,,119.0,,26.6,,,178.0,,,59.3,,,,,,195.0,70.0,16.0,5.0,1015.0
Rams,,,,,,,,,,,,,,,,104.0,,25.0,,,236.0,,,62.3,,,,,,192.0,96.0,11.0,8.0,1007.0
Rams,635.0,408.0,64.2,7.1,4480.0,24.0,27.0,79.9,219.0,34.5,56.0,7.0,58T,46.0,326.0,,,,,,,,,,,,,,,,,,,
Raiders,619.0,418.0,67.5,7.6,4689.0,26.0,10.0,97.2,226.0,36.5,48.0,8.0,75T,36.0,214.0,,,,,,,,,,,,,,,,,,,
Bills,612.0,377.0,61.6,7.1,4364.0,24.0,15.0,86.0,218.0,35.6,45.0,13.0,73T,54.0,369.0,,,,,,,,,,,,,,,,,,,
Patriots,605.0,374.0,61.8,6.2,3767.0,28.0,14.0,85.3,184.0,30.4,37.0,3.0,49,31.0,190.0,,,,,,,,,,,,,,,,,,,
Bengals,591.0,350.0,59.2,6.3,3732.0,17.0,22.0,71.8,186.0,31.5,32.0,5.0,72T,37.0,256.0,,,,,,,,,,,,,,,,,,,
Colts,591.0,392.0,66.3,7.1,4200.0,27.0,19.0,88.8,213.0,36.0,51.0,11.0,69,23.0,145.0,,,,,,,,,,,,,,,,,,,
Seahawks,587.0,361.0,61.5,7.2,4257.0,19.0,16.0,83.0,208.0,35.4,45.0,8.0,83,33.0,179.0,,,,,,,,,,,,,,,,,,,
Packers,580.0,361.0,62.2,6.6,3823.0,29.0,16.0,86.6,197.0,34.0,42.0,7.0,85,27.0,196.0,,,,,,,,,,,,,,,,,,,
Lions,577.0,277.0,48.0,5.5,3168.0,19.0,25.0,57.9,150.0,26.0,40.0,10.0,64,20.0,174.0,,,,,,,,,,,,,,,,,,,
49ers,571.0,354.0,62.0,6.3,3576.0,23.0,10.0,86.0,182.0,31.9,32.0,7.0,76,22.0,119.0,,,,,,,,,,,,,,,,,,,
Buccaneers,567.0,348.0,61.4,6.5,3665.0,23.0,10.0,86.3,172.0,30.3,37.0,6.0,76T,41.0,220.0,,,,,,,,,,,,,,,,,,,
Redskins,559.0,300.0,53.7,6.3,3523.0,24.0,20.0,72.5,165.0,29.5,36.0,7.0,62,38.0,269.0,,,,,,,,,,,,,,,,,,,
Vikings,558.0,337.0,60.4,7.1,3951.0,19.0,23.0,76.1,191.0,34.2,50.0,10.0,61T,49.0,266.0,,,,,,,,,,,,,,,,,,,
Broncos,554.0,359.0,64.8,7.5,4139.0,21.0,20.0,84.8,199.0,35.9,43.0,10.0,82T,46.0,315.0,,,,,,,,,,,,,,,,,,,
Browns,552.0,338.0,61.2,6.6,3665.0,27.0,22.0,80.5,171.0,31.0,47.0,10.0,78,35.0,253.0,,,,,,,,,,,,,,,,,,,
Steelers,551.0,350.0,63.5,7.3,4036.0,26.0,22.0,84.6,200.0,36.3,51.0,8.0,72,34.0,204.0,,,,,,,,,,,,,,,,,,,
Giants,549.0,338.0,61.6,7.5,4103.0,19.0,14.0,85.4,195.0,35.5,61.0,4.0,82T,24.0,152.0,,,,,,,,,,,,,,,,,,,
Eagles,548.0,318.0,58.0,6.6,3606.0,27.0,11.0,85.9,164.0,29.9,49.0,7.0,59,36.0,222.0,,,,,,,,,,,,,,,,,,,
Cardinals,548.0,291.0,53.1,5.5,3038.0,18.0,22.0,63.7,148.0,27.0,30.0,3.0,80T,41.0,298.0,,,,,,,,,,,,,,,,,,,
Bears,543.0,310.0,57.1,6.1,3316.0,22.0,18.0,74.8,156.0,28.7,49.0,7.0,76,44.0,265.0,,,,,,,,,,,,,,,,,,,
Saints,538.0,291.0,54.1,6.8,3685.0,27.0,15.0,80.8,169.0,31.4,48.0,13.0,64T,37.0,244.0,,,,,,,,,,,,,,,,,,,
Chargers,538.0,324.0,60.2,6.3,3368.0,17.0,16.0,76.5,166.0,30.9,42.0,5.0,52T,24.0,180.0,,,,,,,,,,,,,,,,,,,
Titans,500.0,306.0,61.2,6.9,3441.0,22.0,15.0,83.9,182.0,36.4,35.0,6.0,55,21.0,121.0,,,,,,,,,,,,,,,,,,,
Jets,485.0,329.0,67.8,7.5,3619.0,25.0,10.0,98.3,190.0,39.2,44.0,3.0,47T,32.0,201.0,,,,,,,,,,,,,,,,,,,
Falcons,479.0,268.0,56.0,7.1,3384.0,18.0,12.0,80.2,163.0,34.0,48.0,9.0,74T,36.0,217.0,,,,,,,,,,,,,,,,,,,
Ravens,479.0,262.0,54.7,6.5,3118.0,20.0,14.0,76.5,145.0,30.3,40.0,5.0,77T,41.0,271.0,,,,,,,,,,,,,,,,,,,
Chiefs,477.0,292.0,61.2,7.9,3763.0,27.0,13.0,93.5,179.0,37.5,47.0,13.0,99,26.0,141.0,,,,,,,,,,,,,,,,,,,
Cowboys,471.0,252.0,53.5,6.4,3020.0,14.0,16.0,69.1,129.0,27.4,34.0,10.0,80,54.0,399.0,,,,,,,,,,,,,,,,,,,
Panthers,464.0,255.0,55.0,6.4,2981.0,15.0,22.0,65.7,133.0,28.7,51.0,6.0,69T,44.0,287.0,,,,,,,,,,,,,,,,,,,
Jaguars,462.0,268.0,58.0,6.5,3019.0,18.0,9.0,82.5,156.0,33.8,30.0,6.0,79,42.0,257.0,,,,,,,,,,,,,,,,,,,
Dolphins,455.0,271.0,59.6,6.8,3069.0,18.0,15.0,79.3,155.0,34.1,38.0,5.0,77T,25.0,179.0,,,,,,,,,,,,,,,,,,,
Texans,447.0,235.0,52.6,5.9,2636.0,11.0,15.0,64.7,119.0,26.6,32.0,5.0,81,76.0,411.0,,,,,,,,,,,,,,,,,,,
Dolphins,530.0,,,,,24.0,,,,,9.0,5.0,63T,,,2502.0,4.7,139.0,26.2,13.0,,,,,,,,,,,,,,
Falcons,523.0,,,,,23.0,,,,,17.0,5.0,59,,,2368.0,4.5,123.0,23.5,10.0,,,,,,,,,,,,,,
Steelers,512.0,,,,,15.0,,,,,14.0,2.0,42,,,2120.0,4.1,119.0,23.2,8.0,,,,,,,,,,,,,,
Titans,511.0,,,,,16.0,,,,,6.0,0.0,39T,,,1952.0,3.8,112.0,21.9,4.0,,,,,,,,,,,,,,
Eagles,489.0,,,,,15.0,,,,,16.0,3.0,57,,,2220.0,4.5,124.0,25.4,11.0,,,,,,,,,,,,,,
49ers,489.0,,,,,16.0,,,,,12.0,1.0,40,,,2244.0,4.6,141.0,28.8,6.0,,,,,,,,,,,,,,
Giants,486.0,,,,,14.0,,,,,13.0,5.0,70T,,,1875.0,3.9,95.0,19.6,14.0,,,,,,,,,,,,,,
Vikings,473.0,,,,,26.0,,,,,18.0,4.0,85T,,,2507.0,5.3,139.0,29.4,13.0,,,,,,,,,,,,,,
Chargers,466.0,,,,,19.0,,,,,15.0,2.0,76,,,2137.0,4.6,117.0,25.1,3.0,,,,,,,,,,,,,,
Chiefs,462.0,,,,,26.0,,,,,16.0,1.0,56T,,,2378.0,5.2,140.0,30.3,3.0,,,,,,,,,,,,,,
Broncos,457.0,,,,,21.0,,,,,15.0,3.0,59,,,2266.0,5.0,125.0,27.4,11.0,,,,,,,,,,,,,,
Jaguars,455.0,,,,,19.0,,,,,17.0,3.0,63,,,2089.0,4.6,105.0,23.1,5.0,,,,,,,,,,,,,,
Panthers,452.0,,,,,11.0,,,,,7.0,1.0,59,,,1586.0,3.5,82.0,18.1,9.0,,,,,,,,,,,,,,
Packers,451.0,,,,,12.0,,,,,9.0,2.0,43,,,1933.0,4.3,94.0,20.8,9.0,,,,,,,,,,,,,,
Redskins,442.0,,,,,10.0,,,,,12.0,0.0,33T,,,1889.0,4.3,107.0,24.2,9.0,,,,,,,,,,,,,,
Colts,434.0,,,,,12.0,,,,,6.0,1.0,49,,,1561.0,3.6,93.0,21.4,5.0,,,,,,,,,,,,,,
Seahawks,430.0,,,,,17.0,,,,,13.0,4.0,58,,,1740.0,4.0,104.0,24.2,6.0,,,,,,,,,,,,,,
Ravens,427.0,,,,,9.0,,,,,12.0,1.0,75T,,,1792.0,4.2,89.0,20.8,13.0,,,,,,,,,,,,,,
Bengals,426.0,,,,,13.0,,,,,7.0,1.0,67,,,1730.0,4.1,105.0,24.6,7.0,,,,,,,,,,,,,,
Saints,426.0,,,,,16.0,,,,,11.0,4.0,62T,,,1764.0,4.1,91.0,21.4,8.0,,,,,,,,,,,,,,
Texans,424.0,,,,,6.0,,,,,4.0,0.0,37,,,1347.0,3.2,59.0,13.9,17.0,,,,,,,,,,,,,,
Cowboys,423.0,,,,,7.0,,,,,9.0,1.0,46,,,1754.0,4.2,87.0,20.6,6.0,,,,,,,,,,,,,,
Raiders,414.0,,,,,21.0,,,,,11.0,0.0,36,,,1762.0,4.3,113.0,27.3,4.0,,,,,,,,,,,,,,
Cardinals,414.0,,,,,10.0,,,,,13.0,3.0,58,,,1823.0,4.4,94.0,22.7,14.0,,,,,,,,,,,,,,
Buccaneers,414.0,,,,,6.0,,,,,9.0,1.0,59,,,1557.0,3.8,90.0,21.7,6.0,,,,,,,,,,,,,,
Browns,406.0,,,,,10.0,,,,,8.0,2.0,64,,,1615.0,4.0,77.0,19.0,5.0,,,,,,,,,,,,,,
Jets,400.0,,,,,12.0,,,,,8.0,1.0,61,,,1618.0,4.0,86.0,21.5,5.0,,,,,,,,,,,,,,
Patriots,395.0,,,,,9.0,,,,,6.0,2.0,45,,,1508.0,3.8,99.0,25.1,8.0,,,,,,,,,,,,,,
Bills,388.0,,,,,17.0,,,,,10.0,0.0,34,,,1596.0,4.1,90.0,23.2,14.0,,,,,,,,,,,,,,
Bears,382.0,,,,,8.0,,,,,6.0,0.0,34,,,1344.0,3.5,79.0,20.7,12.0,,,,,,,,,,,,,,
Lions,358.0,,,,,9.0,,,,,14.0,2.0,56,,,1477.0,4.1,69.0,19.3,5.0,,,,,,,,,,,,,,
Rams,343.0,,,,,11.0,,,,,9.0,3.0,44T,,,1405.0,4.1,76.0,22.2,7.0,,,,,,,,,,,,,,
Raiders,,,,,,26.0,,,,,48.0,8.0,75T,,,,,,,,418.0,4689.0,11.2,226.0,54.1,4.0,,,,,,,,
Rams,,,,,,24.0,,,,,56.0,7.0,58T,,,,,,,,408.0,4480.0,11.0,219.0,53.7,6.0,,,,,,,,
Colts,,,,,,27.0,,,,,51.0,11.0,69,,,,,,,,392.0,4200.0,10.7,213.0,54.3,10.0,,,,,,,,
Bills,,,,,,24.0,,,,,45.0,13.0,73,,,,,,,,377.0,4364.0,11.6,218.0,57.8,4.0,,,,,,,,
Patriots,,,,,,28.0,,,,,37.0,3.0,49,,,,,,,,374.0,3767.0,10.1,184.0,49.2,5.0,,,,,,,,
Packers,,,,,,29.0,,,,,42.0,7.0,85,,,,,,,,361.0,3823.0,10.6,197.0,54.6,5.0,,,,,,,,
Seahawks,,,,,,19.0,,,,,45.0,8.0,83,,,,,,,,361.0,4257.0,11.8,208.0,57.6,9.0,,,,,,,,
Broncos,,,,,,21.0,,,,,43.0,10.0,82,,,,,,,,359.0,4139.0,11.5,199.0,55.4,1.0,,,,,,,,
49ers,,,,,,23.0,,,,,32.0,7.0,76,,,,,,,,354.0,3576.0,10.1,182.0,51.4,3.0,,,,,,,,
Bengals,,,,,,17.0,,,,,32.0,5.0,72,,,,,,,,350.0,3732.0,10.7,186.0,53.1,1.0,,,,,,,,
Steelers,,,,,,26.0,,,,,51.0,8.0,72,,,,,,,,350.0,4036.0,11.5,199.0,56.9,6.0,,,,,,,,
Buccaneers,,,,,,23.0,,,,,37.0,6.0,76,,,,,,,,348.0,3665.0,10.5,172.0,49.4,5.0,,,,,,,,
Browns,,,,,,27.0,,,,,47.0,10.0,78,,,,,,,,338.0,3665.0,10.8,171.0,50.6,3.0,,,,,,,,
Giants,,,,,,19.0,,,,,61.0,4.0,82,,,,,,,,338.0,4103.0,12.1,195.0,57.7,9.0,,,,,,,,
Vikings,,,,,,19.0,,,,,50.0,10.0,61T,,,,,,,,337.0,3951.0,11.7,191.0,56.7,5.0,,,,,,,,
Jets,,,,,,25.0,,,,,44.0,3.0,47T,,,,,,,,329.0,3619.0,11.0,190.0,57.8,4.0,,,,,,,,
